Titel 	 Grootte familie 	 Aantal keer geciteerd
Manufacturing method for organic LED (OLED) device involves disposing cathode comprising second transparent conductive coating directly or indirectly on hole transporting layer and electron transporting and emitting layer	1	0
New iridium complex compound used as organic electroluminescent element material for organic electroluminescent element for illumination device and display device e.g. television, personal computer and liquid crystal display	5	0
Organic electronic device molding method, involves positioning organic electronic device on substrate, where organic electronic device is made of elastic polymer, non-ferrous metal foil and steel foil	2	0
Adhesive substance, useful for encapsulating an electronic assembly against permeates and an electronic arrangement, comprises a copolymer, a type of a partially hydrogenated adhesive resin, and a cyclic ether-based type of reactive resin	2	0
Adhesive, useful e.g. to encapsulate electronic device, comprises copolymer containing (iso)butylene and another comonomer with specific softening temperature, adhesive resin, reactive resin based on (meth)acrylate and photoinitiator	2	0
New iridium complex for organic electroluminescent element used for light emitting device, display device and illumination device	2	0
Hermetic encapsulated organic LED arrangement for use in roof of building to introduce daylight and artificial light, has sealing layer comprising inner recess at inner side, and connected with support substrate by hermetic connection	1	0
Manufacture of solar cell used for structure, involves providing aluminum base, hard-anodizing aluminum base forming aluminum-oxide substrate on aluminum base, and depositing specific nitride layers on aluminum oxide substrate	2	0
Method for preparing conducting film on ultra-thin glass substrate of LCD device, involves detecting film layer stress of conducting film by using pressure sensor, and adjusting magnetron sputtering power and/or argon flow in real time	3	0
Layered or fabricated photovoltaic device e.g. solar cell, for converting sunlight into electricity, has buffer layer comprising conductive pathways to electrically couple heteroepitaxial crystal silicon layer and metal substrate	2	0
New organometallic complex used for organic light emitting element for display apparatus, image outputting apparatus and illuminating device	2	0
System for detecting and locating disturbance e.g. parasitic touch, in touch surface, has processor detecting and locating disturbance from reception signal, where touch surface includes dermis layer deformable locally by disturbance	3	0
Method of producing metal suspension elements for printing ceramics, involves adding carrier of base or noble metal into solvent, and stabilizer	2	0
New substituted aryl compounds used in first device e.g. flat panel displays, computer monitors, TVs, laser printers, telephones, cell phones, laptop computers, billboards and flexible displays, and as host for deeper blue emitters	6	0
Production of nanomaterial used for e.g. electrochemical transducer, involves providing metal ion cluster stabilization and metal ion cluster reduction, removing acid using acid scavenger, regenerating reducing agent and acid scavenger	1	0
Construction method of falling-stone prevention fence for vehicle, involves inserting H-beam for pillar in support hole when concrete structure is completely cured	2	0
Optoelectronic device assembly comprises coated element having thermoplastic substrate, and protective weathering layer comprising resorcinol polyarylate and polycarbonate, and optoelectronic device on coated element	2	0
